"","compound_1","compound_2","true_match","cosine","comp2keep","comp1_feat","comp2_feat","comp_MSMS","comp_TIC","reason"
"118","amide_711","C18_4898","Y",0.96979,"amide_711",4,2,"amide_711","C18_4898","amide_711 has MSMS"
"119","amide_717","C18_558","Y",0.963382,"amide_717",4,12,"amide_717","C18_558","amide_717 has MSMS"
"120","amide_728","C18_3586","Y",0.998112,"amide_728",4,2,"amide_728","C18_3586","amide_728 has MSMS"
"121","amide_750","C18_2164","Y",0.991755,"C18_2164",5,18,"both","C18_2164","C18_2164 more features"
"122","amide_760","C18_2323","Y",0.897381,"amide_760",9,6,"amide_760","amide_760","amide_760 has MSMS"
"123","amide_761","C18_4236","Y",0.992945,"amide_761",5,3,"both","amide_761","amide_761 higher signal"
"124","amide_77","C18_1682","Y",0.945815,"amide_77",22,9,"amide_77","amide_77","amide_77 has MSMS"
"125","amide_78","C18_102","Y",0.930362,"amide_78",35,36,"amide_78","C18_102","amide_78 has MSMS"
"126","amide_782","C18_4474","Y",0.944847,"amide_782",3,4,"amide_782","amide_782","amide_782 has MSMS"
"127","amide_803","C18_4355","Y",0.876733,"amide_803",3,3,"amide_803","amide_803","amide_803 has MSMS"
"128","amide_806","C18_2547","Y",0.869486,"amide_806",3,2,"amide_806","C18_2547","amide_806 has MSMS"
"129","amide_809","C18_3751","Y",0.974325,"amide_809",17,3,"both","amide_809","amide_809 more features"
"130","amide_810","C18_4463","Y",0.968315,"amide_810",3,4,"amide_810","amide_810","amide_810 has MSMS"
"131","amide_815","C18_6100","Y",0.992167,"amide_815",3,2,"both","amide_815","amide_815 more features"
"132","amide_824","C18_5328","Y",0.963989,"amide_824",3,5,"amide_824","amide_824","amide_824 has MSMS"
"133","amide_829","C18_3495","Y",0.952726,"amide_829",3,2,"both","amide_829","amide_829 higher signal"
"134","amide_83","C18_678","Y",0.919874,"C18_678",16,22,"both","amide_83","C18_678 more features"
"135","amide_840","C18_4292","Y",0.999898,"amide_840",3,2,"both","amide_840","amide_840 higher signal"
"136","amide_855","C18_1450","Y",0.837005,"amide_855",4,13,"amide_855","C18_1450","amide_855 has MSMS"
"137","amide_86","C18_895","Y",0.975325,"C18_895",29,37,"both","amide_86","C18_895 more features"
"138","amide_860","C18_1691","Y",0.866024,"amide_860",3,4,"amide_860","amide_860","amide_860 has MSMS"
"139","amide_863","C18_3862","Y",0.813703,"C18_3862",4,3,"C18_3862","amide_863","C18_3862 has MSMS"
"140","amide_878","C18_5400","Y",0.933502,"C18_5400",8,3,"C18_5400","amide_878","C18_5400 has MSMS"
"141","amide_884","C18_4231","Y",0.99252,"amide_884",3,5,"amide_884","amide_884","amide_884 has MSMS"
"142","amide_92","C18_5790","Y",0.988489,"C18_5790",15,5,"C18_5790","amide_92","C18_5790 has MSMS"
"143","amide_956","C18_2691","Y",0.937654,"amide_956",3,6,"amide_956","C18_2691","amide_956 has MSMS"
"144","amide_97","C18_4736","Y",0.858202,"amide_97",27,4,"both","amide_97","amide_97 more features"
"145","amide_986","C18_6028","Y",0.886198,"amide_986",3,2,"both","C18_6028","amide_986 more features"
"146","amide_994","C18_5792","Y",0.992867,"amide_994",3,9,"amide_994","C18_5792","amide_994 has MSMS"
"147","amide_997","C18_1838","Y",0.99987,"amide_997",3,2,"amide_997","amide_997","amide_997 has MSMS"
"148","amide_1019","C18_4077","Y",0.924747,"amide_1019",2,2,"amide_1019","C18_4077","amide_1019 has MSMS"
"149","amide_1038","C18_7359","Y",0.824851,"amide_1038",2,4,"amide_1038","C18_7359","amide_1038 has MSMS"
"150","amide_1173","C18_3102","Y",0.947739,"amide_1173",2,4,"amide_1173","C18_3102","amide_1173 has MSMS"
"151","amide_1217","C18_6501","Y",0.981279,"amide_1217",2,2,"amide_1217","C18_6501","amide_1217 has MSMS"
